 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      geoid (m)
# --------------------------------------------
        3.00000       87.00000       -0.08905
        5.00000       87.00000       -0.09108
        7.00000       87.00000       -0.09300
        9.00000       87.00000       -0.09481
       11.00000       87.00000       -0.09652
       13.00000       87.00000       -0.09813
       15.00000       87.00000       -0.09965
       17.00000       87.00000       -0.10107
       19.00000       87.00000       -0.10241
       21.00000       87.00000       -0.10367
       23.00000       87.00000       -0.10485
       25.00000       87.00000       -0.10595
       27.00000       87.00000       -0.10699
       29.00000       87.00000       -0.10795
       31.00000       87.00000       -0.10885
       33.00000       87.00000       -0.10969
       35.00000       87.00000       -0.11047
       37.00000       87.00000       -0.11120
       39.00000       87.00000       -0.11187
       41.00000       87.00000       -0.11249
       43.00000       87.00000       -0.11307
       45.00000       87.00000       -0.11360
       47.00000       87.00000       -0.11409
       49.00000       87.00000       -0.11454
       51.00000       87.00000       -0.11496
       53.00000       87.00000       -0.11534
       55.00000       87.00000       -0.11569
       57.00000       87.00000       -0.11601
       59.00000       87.00000       -0.11630
       61.00000       87.00000       -0.11656
       63.00000       87.00000       -0.11680
       65.00000       87.00000       -0.11701
       67.00000       87.00000       -0.11721
       69.00000       87.00000       -0.11738
       71.00000       87.00000       -0.11754
       73.00000       87.00000       -0.11768
       75.00000       87.00000       -0.11781
       77.00000       87.00000       -0.11792
       79.00000       87.00000       -0.11802
       81.00000       87.00000       -0.11811
       83.00000       87.00000       -0.11818
       85.00000       87.00000       -0.11825
       87.00000       87.00000       -0.11831
       89.00000       87.00000       -0.11836
       91.00000       87.00000       -0.11840
       93.00000       87.00000       -0.11843
       95.00000       87.00000       -0.11846
       97.00000       87.00000       -0.11848
       99.00000       87.00000       -0.11849
      101.00000       87.00000       -0.11850
      103.00000       87.00000       -0.11850
      105.00000       87.00000       -0.11850
      107.00000       87.00000       -0.11848
      109.00000       87.00000       -0.11846
      111.00000       87.00000       -0.11844
      113.00000       87.00000       -0.11840
      115.00000       87.00000       -0.11835
      117.00000       87.00000       -0.11830
      119.00000       87.00000       -0.11823
      121.00000       87.00000       -0.11815
      123.00000       87.00000       -0.11806
      125.00000       87.00000       -0.11794
      127.00000       87.00000       -0.11782
      129.00000       87.00000       -0.11767
      131.00000       87.00000       -0.11750
      133.00000       87.00000       -0.11730
      135.00000       87.00000       -0.11708
      137.00000       87.00000       -0.11683
      139.00000       87.00000       -0.11655
      141.00000       87.00000       -0.11623
      143.00000       87.00000       -0.11587
      145.00000       87.00000       -0.11547
      147.00000       87.00000       -0.11503
      149.00000       87.00000       -0.11453
      151.00000       87.00000       -0.11398
      153.00000       87.00000       -0.11337
      155.00000       87.00000       -0.11270
      157.00000       87.00000       -0.11196
      159.00000       87.00000       -0.11115
      161.00000       87.00000       -0.11026
      163.00000       87.00000       -0.10929
      165.00000       87.00000       -0.10823
      167.00000       87.00000       -0.10707
      169.00000       87.00000       -0.10582
      171.00000       87.00000       -0.10445
      173.00000       87.00000       -0.10297
      175.00000       87.00000       -0.10138
      177.00000       87.00000       -0.09965
      179.00000       87.00000       -0.09780
      181.00000       87.00000       -0.09580
      183.00000       87.00000       -0.09366
      185.00000       87.00000       -0.09137
      187.00000       87.00000       -0.08892
      189.00000       87.00000       -0.08630
      191.00000       87.00000       -0.08352
      193.00000       87.00000       -0.08057
      195.00000       87.00000       -0.07743
      197.00000       87.00000       -0.07412
      199.00000       87.00000       -0.07062
      201.00000       87.00000       -0.06694
      203.00000       87.00000       -0.06307
      205.00000       87.00000       -0.05902
      207.00000       87.00000       -0.05479
      209.00000       87.00000       -0.05039
      211.00000       87.00000       -0.04582
      213.00000       87.00000       -0.04108
      215.00000       87.00000       -0.03620
      217.00000       87.00000       -0.03118
      219.00000       87.00000       -0.02604
      221.00000       87.00000       -0.02079
      223.00000       87.00000       -0.01545
      225.00000       87.00000       -0.01004
      227.00000       87.00000       -0.00459
      229.00000       87.00000        0.00089
      231.00000       87.00000        0.00636
      233.00000       87.00000        0.01181
      235.00000       87.00000        0.01720
      237.00000       87.00000        0.02251
      239.00000       87.00000        0.02771
      241.00000       87.00000        0.03276
      243.00000       87.00000        0.03765
      245.00000       87.00000        0.04235
      247.00000       87.00000        0.04682
      249.00000       87.00000        0.05104
      251.00000       87.00000        0.05498
      253.00000       87.00000        0.05863
      255.00000       87.00000        0.06196
      257.00000       87.00000        0.06495
      259.00000       87.00000        0.06758
      261.00000       87.00000        0.06984
      263.00000       87.00000        0.07172
      265.00000       87.00000        0.07319
      267.00000       87.00000        0.07427
      269.00000       87.00000        0.07493
      271.00000       87.00000        0.07519
      273.00000       87.00000        0.07503
      275.00000       87.00000        0.07447
      277.00000       87.00000        0.07350
      279.00000       87.00000        0.07214
      281.00000       87.00000        0.07039
      283.00000       87.00000        0.06827
      285.00000       87.00000        0.06580
      287.00000       87.00000        0.06298
      289.00000       87.00000        0.05984
      291.00000       87.00000        0.05640
      293.00000       87.00000        0.05268
      295.00000       87.00000        0.04871
      297.00000       87.00000        0.04451
      299.00000       87.00000        0.04010
      301.00000       87.00000        0.03551
      303.00000       87.00000        0.03077
      305.00000       87.00000        0.02590
      307.00000       87.00000        0.02093
      309.00000       87.00000        0.01589
      311.00000       87.00000        0.01080
      313.00000       87.00000        0.00569
      315.00000       87.00000        0.00057
      317.00000       87.00000       -0.00452
      319.00000       87.00000       -0.00956
      321.00000       87.00000       -0.01455
      323.00000       87.00000       -0.01945
      325.00000       87.00000       -0.02426
      327.00000       87.00000       -0.02896
      329.00000       87.00000       -0.03354
      331.00000       87.00000       -0.03799
      333.00000       87.00000       -0.04230
      335.00000       87.00000       -0.04646
      337.00000       87.00000       -0.05047
      339.00000       87.00000       -0.05433
      341.00000       87.00000       -0.05804
      343.00000       87.00000       -0.06159
      345.00000       87.00000       -0.06498
      347.00000       87.00000       -0.06822
      349.00000       87.00000       -0.07131
      351.00000       87.00000       -0.07425
      353.00000       87.00000       -0.07705
      355.00000       87.00000       -0.07971
      357.00000       87.00000       -0.08224
