 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      u_rad (m)
# --------------------------------------------
        3.00000       87.00000       -1.46418
        5.00000       87.00000       -1.45109
        7.00000       87.00000       -1.43807
        9.00000       87.00000       -1.42514
       11.00000       87.00000       -1.41235
       13.00000       87.00000       -1.39970
       15.00000       87.00000       -1.38720
       17.00000       87.00000       -1.37487
       19.00000       87.00000       -1.36269
       21.00000       87.00000       -1.35068
       23.00000       87.00000       -1.33883
       25.00000       87.00000       -1.32715
       27.00000       87.00000       -1.31563
       29.00000       87.00000       -1.30429
       31.00000       87.00000       -1.29312
       33.00000       87.00000       -1.28213
       35.00000       87.00000       -1.27132
       37.00000       87.00000       -1.26071
       39.00000       87.00000       -1.25029
       41.00000       87.00000       -1.24008
       43.00000       87.00000       -1.23008
       45.00000       87.00000       -1.22029
       47.00000       87.00000       -1.21073
       49.00000       87.00000       -1.20141
       51.00000       87.00000       -1.19232
       53.00000       87.00000       -1.18348
       55.00000       87.00000       -1.17490
       57.00000       87.00000       -1.16658
       59.00000       87.00000       -1.15854
       61.00000       87.00000       -1.15078
       63.00000       87.00000       -1.14333
       65.00000       87.00000       -1.13619
       67.00000       87.00000       -1.12937
       69.00000       87.00000       -1.12290
       71.00000       87.00000       -1.11679
       73.00000       87.00000       -1.11105
       75.00000       87.00000       -1.10571
       77.00000       87.00000       -1.10077
       79.00000       87.00000       -1.09627
       81.00000       87.00000       -1.09221
       83.00000       87.00000       -1.08861
       85.00000       87.00000       -1.08550
       87.00000       87.00000       -1.08287
       89.00000       87.00000       -1.08076
       91.00000       87.00000       -1.07918
       93.00000       87.00000       -1.07814
       95.00000       87.00000       -1.07765
       97.00000       87.00000       -1.07773
       99.00000       87.00000       -1.07839
      101.00000       87.00000       -1.07965
      103.00000       87.00000       -1.08151
      105.00000       87.00000       -1.08399
      107.00000       87.00000       -1.08710
      109.00000       87.00000       -1.09086
      111.00000       87.00000       -1.09527
      113.00000       87.00000       -1.10034
      115.00000       87.00000       -1.10610
      117.00000       87.00000       -1.11254
      119.00000       87.00000       -1.11968
      121.00000       87.00000       -1.12754
      123.00000       87.00000       -1.13613
      125.00000       87.00000       -1.14545
      127.00000       87.00000       -1.15552
      129.00000       87.00000       -1.16635
      131.00000       87.00000       -1.17795
      133.00000       87.00000       -1.19034
      135.00000       87.00000       -1.20353
      137.00000       87.00000       -1.21752
      139.00000       87.00000       -1.23233
      141.00000       87.00000       -1.24797
      143.00000       87.00000       -1.26444
      145.00000       87.00000       -1.28175
      147.00000       87.00000       -1.29990
      149.00000       87.00000       -1.31890
      151.00000       87.00000       -1.33875
      153.00000       87.00000       -1.35944
      155.00000       87.00000       -1.38097
      157.00000       87.00000       -1.40332
      159.00000       87.00000       -1.42650
      161.00000       87.00000       -1.45047
      163.00000       87.00000       -1.47522
      165.00000       87.00000       -1.50072
      167.00000       87.00000       -1.52694
      169.00000       87.00000       -1.55382
      171.00000       87.00000       -1.58132
      173.00000       87.00000       -1.60936
      175.00000       87.00000       -1.63786
      177.00000       87.00000       -1.66672
      179.00000       87.00000       -1.69583
      181.00000       87.00000       -1.72504
      183.00000       87.00000       -1.75419
      185.00000       87.00000       -1.78310
      187.00000       87.00000       -1.81154
      189.00000       87.00000       -1.83929
      191.00000       87.00000       -1.86607
      193.00000       87.00000       -1.89162
      195.00000       87.00000       -1.91562
      197.00000       87.00000       -1.93775
      199.00000       87.00000       -1.95768
      201.00000       87.00000       -1.97507
      203.00000       87.00000       -1.98958
      205.00000       87.00000       -2.00088
      207.00000       87.00000       -2.00864
      209.00000       87.00000       -2.01256
      211.00000       87.00000       -2.01237
      213.00000       87.00000       -2.00782
      215.00000       87.00000       -1.99870
      217.00000       87.00000       -1.98486
      219.00000       87.00000       -1.96619
      221.00000       87.00000       -1.94265
      223.00000       87.00000       -1.91426
      225.00000       87.00000       -1.88109
      227.00000       87.00000       -1.84329
      229.00000       87.00000       -1.80109
      231.00000       87.00000       -1.75477
      233.00000       87.00000       -1.70468
      235.00000       87.00000       -1.65126
      237.00000       87.00000       -1.59498
      239.00000       87.00000       -1.53637
