 # done by Task#3 of TABOO on 2017.02.06 time=15.50.26
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      u_lon (m)
# --------------------------------------------
       13.00000       87.00000       -0.19760
       15.00000       87.00000       -0.19966
       17.00000       87.00000       -0.20118
       19.00000       87.00000       -0.20219
       21.00000       87.00000       -0.20268
       23.00000       87.00000       -0.20267
       25.00000       87.00000       -0.20218
       27.00000       87.00000       -0.20119
       29.00000       87.00000       -0.19973
       31.00000       87.00000       -0.19780
       33.00000       87.00000       -0.19540
       35.00000       87.00000       -0.19254
       37.00000       87.00000       -0.18923
       39.00000       87.00000       -0.18546
       41.00000       87.00000       -0.18127
       43.00000       87.00000       -0.17664
       45.00000       87.00000       -0.17160
       47.00000       87.00000       -0.16614
       49.00000       87.00000       -0.16030
       51.00000       87.00000       -0.15406
       53.00000       87.00000       -0.14746
       55.00000       87.00000       -0.14051
       57.00000       87.00000       -0.13321
       59.00000       87.00000       -0.12559
       61.00000       87.00000       -0.11766
       63.00000       87.00000       -0.10944
       65.00000       87.00000       -0.10095
       67.00000       87.00000       -0.09222
       69.00000       87.00000       -0.08325
       71.00000       87.00000       -0.07408
       73.00000       87.00000       -0.06472
       75.00000       87.00000       -0.05521
       77.00000       87.00000       -0.04556
       79.00000       87.00000       -0.03580
       81.00000       87.00000       -0.02596
       83.00000       87.00000       -0.01606
       85.00000       87.00000       -0.00614
       87.00000       87.00000        0.00379
       89.00000       87.00000        0.01370
       91.00000       87.00000        0.02356
       93.00000       87.00000        0.03334
       95.00000       87.00000        0.04302
       97.00000       87.00000        0.05258
       99.00000       87.00000        0.06198
      101.00000       87.00000        0.07121
      103.00000       87.00000        0.08025
      105.00000       87.00000        0.08906
      107.00000       87.00000        0.09764
      109.00000       87.00000        0.10596
      111.00000       87.00000        0.11399
      113.00000       87.00000        0.12174
      115.00000       87.00000        0.12916
      117.00000       87.00000        0.13626
      119.00000       87.00000        0.14301
      121.00000       87.00000        0.14941
      123.00000       87.00000        0.15543
      125.00000       87.00000        0.16107
      127.00000       87.00000        0.16632
      129.00000       87.00000        0.17117
      131.00000       87.00000        0.17561
      133.00000       87.00000        0.17963
      135.00000       87.00000        0.18323
      137.00000       87.00000        0.18641
      139.00000       87.00000        0.18916
      141.00000       87.00000        0.19147
      143.00000       87.00000        0.19335
      145.00000       87.00000        0.19479
      147.00000       87.00000        0.19580
      149.00000       87.00000        0.19637
      151.00000       87.00000        0.19651
      153.00000       87.00000        0.19621
      155.00000       87.00000        0.19548
      157.00000       87.00000        0.19432
      159.00000       87.00000        0.19272
      161.00000       87.00000        0.19069
      163.00000       87.00000        0.18822
      165.00000       87.00000        0.18531
      167.00000       87.00000        0.18194
      169.00000       87.00000        0.17809
      171.00000       87.00000        0.17375
      173.00000       87.00000        0.16889
      175.00000       87.00000        0.16348
      177.00000       87.00000        0.15747
      179.00000       87.00000        0.15083
      181.00000       87.00000        0.14349
      183.00000       87.00000        0.13542
      185.00000       87.00000        0.12654
      187.00000       87.00000        0.11681
      189.00000       87.00000        0.10616
      191.00000       87.00000        0.09456
      193.00000       87.00000        0.08196
      195.00000       87.00000        0.06834
      197.00000       87.00000        0.05367
      199.00000       87.00000        0.03796
      201.00000       87.00000        0.02124
      203.00000       87.00000        0.00355
      205.00000       87.00000       -0.01504
      207.00000       87.00000       -0.03443
      209.00000       87.00000       -0.05451
      211.00000       87.00000       -0.07513
      213.00000       87.00000       -0.09611
      215.00000       87.00000       -0.11727
      217.00000       87.00000       -0.13838
      219.00000       87.00000       -0.15921
      221.00000       87.00000       -0.17951
      223.00000       87.00000       -0.19900
      225.00000       87.00000       -0.21741
      227.00000       87.00000       -0.23446
      229.00000       87.00000       -0.24988
      231.00000       87.00000       -0.26340
      233.00000       87.00000       -0.27476
      235.00000       87.00000       -0.28371
      237.00000       87.00000       -0.29005
      239.00000       87.00000       -0.29359
      241.00000       87.00000       -0.29418
      243.00000       87.00000       -0.29171
      245.00000       87.00000       -0.28610
      247.00000       87.00000       -0.27734
      249.00000       87.00000       -0.26545
      251.00000       87.00000       -0.25050
      253.00000       87.00000       -0.23261
      255.00000       87.00000       -0.21195
      257.00000       87.00000       -0.18874
      259.00000       87.00000       -0.16322
      261.00000       87.00000       -0.13568
      263.00000       87.00000       -0.10647
      265.00000       87.00000       -0.07593
      267.00000       87.00000       -0.04443
      269.00000       87.00000       -0.01238
      271.00000       87.00000        0.01983
      273.00000       87.00000        0.05178
      275.00000       87.00000        0.08307
      277.00000       87.00000        0.11332
      279.00000       87.00000        0.14214
      281.00000       87.00000        0.16918
      283.00000       87.00000        0.19412
      285.00000       87.00000        0.21667
      287.00000       87.00000        0.23657
      289.00000       87.00000        0.25362
      291.00000       87.00000        0.26766
      293.00000       87.00000        0.27857
      295.00000       87.00000        0.28628
      297.00000       87.00000        0.29079
      299.00000       87.00000        0.29211
      301.00000       87.00000        0.29034
      303.00000       87.00000        0.28558
      305.00000       87.00000        0.27799
      307.00000       87.00000        0.26777
      309.00000       87.00000        0.25515
      311.00000       87.00000        0.24037
      313.00000       87.00000        0.22369
      315.00000       87.00000        0.20540
      317.00000       87.00000        0.18577
      319.00000       87.00000        0.16510
      321.00000       87.00000        0.14367
      323.00000       87.00000        0.12175
      325.00000       87.00000        0.09960
      327.00000       87.00000        0.07746
      329.00000       87.00000        0.05557
      331.00000       87.00000        0.03411
      333.00000       87.00000        0.01327
      335.00000       87.00000       -0.00680
      337.00000       87.00000       -0.02598
      339.00000       87.00000       -0.04417
      341.00000       87.00000       -0.06129
      343.00000       87.00000       -0.07730
      345.00000       87.00000       -0.09218
      347.00000       87.00000       -0.10590
      349.00000       87.00000       -0.11850
      351.00000       87.00000       -0.12998
      353.00000       87.00000       -0.14041
      355.00000       87.00000       -0.14981
      357.00000       87.00000       -0.15825
      359.00000       87.00000       -0.16578
        1.00000       85.00000       -0.20044
        3.00000       85.00000       -0.20852
        5.00000       85.00000       -0.21563
        7.00000       85.00000       -0.22190
        9.00000       85.00000       -0.22742
       11.00000       85.00000       -0.23227
       13.00000       85.00000       -0.23648
       15.00000       85.00000       -0.24006
       17.00000       85.00000       -0.24304
       19.00000       85.00000       -0.24543
       21.00000       85.00000       -0.24722
       23.00000       85.00000       -0.24843
       25.00000       85.00000       -0.24906
       27.00000       85.00000       -0.24912
       29.00000       85.00000       -0.24860
       31.00000       85.00000       -0.24749
       33.00000       85.00000       -0.24580
       35.00000       85.00000       -0.24351
       37.00000       85.00000       -0.24060
       39.00000       85.00000       -0.23708
       41.00000       85.00000       -0.23292
       43.00000       85.00000       -0.22812
       45.00000       85.00000       -0.22267
       47.00000       85.00000       -0.21658
       49.00000       85.00000       -0.20985
       51.00000       85.00000       -0.20249
       53.00000       85.00000       -0.19453
       55.00000       85.00000       -0.18598
       57.00000       85.00000       -0.17687
       59.00000       85.00000       -0.16723
       61.00000       85.00000       -0.15710
       63.00000       85.00000       -0.14650
       65.00000       85.00000       -0.13548
       67.00000       85.00000       -0.12406
       69.00000       85.00000       -0.11230
       71.00000       85.00000       -0.10021
       73.00000       85.00000       -0.08785
       75.00000       85.00000       -0.07524
       77.00000       85.00000       -0.06243
       79.00000       85.00000       -0.04945
       81.00000       85.00000       -0.03634
       83.00000       85.00000       -0.02314
       85.00000       85.00000       -0.00990
       87.00000       85.00000        0.00336
       89.00000       85.00000        0.01658
       91.00000       85.00000        0.02972
       93.00000       85.00000        0.04276
       95.00000       85.00000        0.05564
       97.00000       85.00000        0.06833
       99.00000       85.00000        0.08080
      101.00000       85.00000        0.09301
      103.00000       85.00000        0.10493
      105.00000       85.00000        0.11653
      107.00000       85.00000        0.12777
      109.00000       85.00000        0.13863
      111.00000       85.00000        0.14907
      113.00000       85.00000        0.15906
      115.00000       85.00000        0.16857
      117.00000       85.00000        0.17757
      119.00000       85.00000        0.18602
      121.00000       85.00000        0.19390
      123.00000       85.00000        0.20118
      125.00000       85.00000        0.20785
      127.00000       85.00000        0.21389
      129.00000       85.00000        0.21928
      131.00000       85.00000        0.22402
      133.00000       85.00000        0.22810
      135.00000       85.00000        0.23153
      137.00000       85.00000        0.23432
      139.00000       85.00000        0.23648
      141.00000       85.00000        0.23803
      143.00000       85.00000        0.23897
      145.00000       85.00000        0.23934
      147.00000       85.00000        0.23916
      149.00000       85.00000        0.23845
      151.00000       85.00000        0.23721
      153.00000       85.00000        0.23548
      155.00000       85.00000        0.23325
      157.00000       85.00000        0.23053
      159.00000       85.00000        0.22733
      161.00000       85.00000        0.22365
      163.00000       85.00000        0.21948
      165.00000       85.00000        0.21482
      167.00000       85.00000        0.20967
      169.00000       85.00000        0.20401
      171.00000       85.00000        0.19784
      173.00000       85.00000        0.19110
      175.00000       85.00000        0.18375
      177.00000       85.00000        0.17569
      179.00000       85.00000        0.16679
      181.00000       85.00000        0.15687
      183.00000       85.00000        0.14568
      185.00000       85.00000        0.13294
      187.00000       85.00000        0.11830
      189.00000       85.00000        0.10137
      191.00000       85.00000        0.08174
      193.00000       85.00000        0.05899
      195.00000       85.00000        0.03270
      197.00000       85.00000        0.00249
      199.00000       85.00000       -0.03197
      201.00000       85.00000       -0.07095
      203.00000       85.00000       -0.11462
      205.00000       85.00000       -0.16306
      207.00000       85.00000       -0.21624
      209.00000       85.00000       -0.27397
