 # File k.dat, created by Task#2 of TABOO on 2002.10.17 time=09.59.07
  2       -0.26627555E+00      -0.97126401E+00      -0.11486907E-04       0.11385150E-03      -0.79150729E-01      -0.47909575E+00       0.21438934E-27      -0.49077471E-02      -0.24856731E-02      -0.41922825E-29
  3       -0.18219231E+00      -0.96678337E+00      -0.25406839E-04       0.12865306E-03      -0.87788938E-01      -0.37541844E+00      -0.56148514E-27      -0.15621933E-02      -0.47230775E-03       0.81652276E-29
  4       -0.13312644E+00      -0.96176705E+00      -0.42796945E-04      -0.64729696E-04      -0.81885500E-01      -0.28926836E+00       0.35174569E-28      -0.71115927E-03      -0.88453305E-05       0.35071222E-30
  5       -0.10927009E+00      -0.95655167E+00      -0.60588014E-04      -0.88648837E-03      -0.58174604E-01      -0.25329099E+00      -0.50780996E-27      -0.46762391E-03      -0.11027221E-04       0.59863755E-29
  6       -0.96794225E-01      -0.95123941E+00      -0.75957201E-04      -0.31188127E-02      -0.23065545E-01      -0.24988252E+00       0.13940708E-27      -0.39275317E-03      -0.47081045E-04      -0.48160896E-30
  7       -0.89326889E-01      -0.94586696E+00      -0.87086283E-04      -0.75607486E-02      -0.13002899E-02      -0.24295983E+00      -0.19208111E-27      -0.37630783E-03      -0.58794829E-04       0.47019020E-29
  8       -0.84249677E-01      -0.94044299E+00      -0.93281315E-04      -0.10184507E-01      -0.57906735E-02      -0.21810013E+00      -0.93735565E-28      -0.38177148E-03      -0.54645896E-04       0.17443873E-30
  9       -0.80437389E-01      -0.93496132E+00      -0.94743972E-04      -0.40127892E-02      -0.33990396E-01      -0.18213489E+00       0.35838927E-27      -0.39378251E-03      -0.44989833E-04      -0.11906209E-28
 10       -0.77360771E-01      -0.92940701E+00      -0.92241985E-04      -0.97015145E-03      -0.66313920E-01      -0.14135134E+00       0.38408543E-27      -0.40497304E-03      -0.34971756E-04      -0.13713914E-28
 11       -0.74744321E-01      -0.92375939E+00      -0.86800156E-04      -0.23981329E-03      -0.94873583E-01      -0.10368719E+00       0.36808380E-27      -0.41176795E-03      -0.26415504E-04      -0.14781314E-28
 12       -0.72430900E-01      -0.91799380E+00      -0.79463233E-04      -0.62315604E-04      -0.11562606E+00      -0.74476316E-01       0.51711895E-27      -0.41264699E-03      -0.19666378E-04      -0.20450077E-28
 13       -0.70324487E-01      -0.91208270E+00      -0.71146384E-04      -0.16770087E-04      -0.12862555E+00      -0.53777226E-01      -0.24135242E-27      -0.40727207E-03      -0.14539185E-04       0.10592418E-28
 14       -0.68363800E-01      -0.90599642E+00      -0.62565686E-04      -0.46235287E-05      -0.13591156E+00      -0.39436596E-01       0.56346726E-28      -0.39599817E-03      -0.10716468E-04      -0.84612406E-29
 15       -0.66508904E-01      -0.89970374E+00      -0.54227571E-04      -0.12973704E-05      -0.13940266E+00      -0.29409984E-01       0.16481200E-27      -0.37957879E-03      -0.78928508E-05      -0.14095437E-28
 16       -0.64733714E-01      -0.89317241E+00      -0.46453098E-04      -0.36899869E-06      -0.14042599E+00      -0.22268626E-01       0.18122640E-27      -0.35897703E-03      -0.58162978E-05      -0.13607764E-28
 17       -0.63021469E-01      -0.88636961E+00      -0.39417013E-04      -0.10608455E-06      -0.13983175E+00      -0.17086092E-01       0.39160998E-27      -0.33523765E-03      -0.42915946E-05      -0.17921471E-28
 18       -0.61361782E-01      -0.87926246E+00      -0.33188380E-04      -0.30765459E-07      -0.13816323E+00      -0.13263368E-01      -0.15634273E-27      -0.30939764E-03      -0.31720891E-05       0.18704111E-28
 19       -0.59748656E-01      -0.87181846E+00      -0.27765870E-04      -0.89859751E-08      -0.13577563E+00      -0.10405015E-01      -0.20472909E-27      -0.28242387E-03      -0.23493188E-05       0.21865526E-28
 20       -0.58179071E-01      -0.86400601E+00      -0.23105273E-04      -0.26398755E-08      -0.13290808E+00      -0.82431135E-02      -0.27019445E-27      -0.25517197E-03      -0.17437082E-05       0.34437183E-28
 21       -0.56651980E-01      -0.85579494E+00      -0.19139297E-04      -0.77915786E-09      -0.12972608E+00      -0.65916913E-02      -0.18207944E-28      -0.22836231E-03      -0.12971024E-05      -0.24800234E-28
