 ########################################
 #     RECTANGULAR load of type 50       
 #   degree,  order, & load (kg/m**2)    
  16    3 0.25508027E-01 -.95197251E-01
  16    4 -.44682111E-02 -.16262959E-02
  16    5 0.40710018E-05 -.87302915E-05
  16    6 0.21240181E-04 0.12263024E-04
  16    7 0.23138819E-05 -.33045658E-05
  16    8 -.20410882E-06 -.17126764E-06
  16    9 -.64926544E-08 0.64926544E-08
  16   10 0.58618245E-10 0.69858505E-10
  16   11 -.64162867E-11 0.44927323E-11
  16   12 0.25266813E-12 0.43763404E-12
  16   13 0.15024118E-13 -.70058613E-14
  16   14 -.11390446E-15 -.31294993E-15
  16   15 -.26241113E-17 0.70312851E-18
  16   16 -.14007059E-19 -.79437977E-19
  17    0 -.19125453E+03 0.00000000E+00
  17    1 0.14684678E+00 -.16784663E+01
  17    2 -.11699436E+01 -.20629262E+00
  17    3 0.37583625E-02 -.14026400E-01
  17    4 -.28574136E-02 -.10400135E-02
  17    5 -.36557533E-05 0.78397883E-05
  17    6 0.86001154E-05 0.49652790E-05
  17    7 0.12753953E-05 -.18214532E-05
  17    8 -.12807614E-06 -.10746864E-06
  17    9 -.44081316E-08 0.44081316E-08
  17   10 0.42050865E-10 0.50114269E-10
  17   11 -.47973468E-11 0.33591384E-11
  17   12 0.19517212E-12 0.33804803E-12
  17   13 0.11916730E-13 -.55568625E-14
  17   14 -.92359440E-16 -.25375548E-15
  17   15 -.21678984E-17 0.58088663E-18
  17   16 -.11759475E-19 -.66691298E-19
  17   17 -.34459412E-20 0.30148079E-21
  18    0 -.84457897E+01 0.00000000E+00
  18    1 -.14105691E+01 0.16122878E+02
  18    2 -.18906063E+00 -.33336490E-01
  18    3 -.46076203E-02 0.17195873E-01
  18    4 -.10799535E-02 -.39307094E-03
  18    5 -.43942930E-05 0.94235917E-05
  18    6 0.22923638E-05 0.13234969E-05
  18    7 0.62615012E-06 -.89423505E-06
  18    8 -.74952459E-07 -.62892580E-07
  18    9 -.28440778E-08 0.28440778E-08
  18   10 0.28963586E-10 0.34517457E-10
  18   11 -.34665690E-11 0.24273177E-11
  18   12 0.14636439E-12 0.25351056E-12
  18   13 0.92070076E-14 -.42932981E-14
  18   14 -.73133797E-16 -.20093346E-15
  18   15 -.17525189E-17 0.46958601E-18
  18   16 -.96761256E-20 -.54876035E-19
  18   17 -.28793163E-20 0.25190753E-21
  18   18 0.00000000E+00 0.71611520E-22
  19    0 0.24427047E+03 0.00000000E+00
  19    1 -.10419934E+01 0.11910039E+02
  19    2 0.80549621E+00 0.14203071E+00
  19    3 -.21745893E-02 0.81156778E-02
  19    4 0.38911828E-04 0.14162747E-04
  19    5 -.23620183E-05 0.50653646E-05
  19    6 -.75565682E-07 -.43627867E-07
  19    7 0.26205967E-06 -.37426000E-06
  19    8 -.40340482E-07 -.33849684E-07
  19    9 -.17317320E-08 0.17317320E-08
  19   10 0.19077616E-10 0.22735817E-10
  19   11 -.24148270E-11 0.16908801E-11
  19   12 0.10638580E-12 0.18426561E-12
  19   13 0.69212959E-14 -.32274533E-14
  19   14 -.56509345E-16 -.15525815E-15
  19   15 -.13855737E-17 0.37126336E-18
