 # done by Task#3 of TABOO on 2017.02.06 time=15.50.26
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      u_rad (m)
# --------------------------------------------
        3.00000       87.00000       -1.66358
        5.00000       87.00000       -1.63407
        7.00000       87.00000       -1.60495
        9.00000       87.00000       -1.57629
       11.00000       87.00000       -1.54816
       13.00000       87.00000       -1.52063
       15.00000       87.00000       -1.49373
       17.00000       87.00000       -1.46751
       19.00000       87.00000       -1.44198
       21.00000       87.00000       -1.41716
       23.00000       87.00000       -1.39308
       25.00000       87.00000       -1.36975
       27.00000       87.00000       -1.34717
       29.00000       87.00000       -1.32535
       31.00000       87.00000       -1.30429
       33.00000       87.00000       -1.28399
       35.00000       87.00000       -1.26446
       37.00000       87.00000       -1.24567
       39.00000       87.00000       -1.22763
       41.00000       87.00000       -1.21034
       43.00000       87.00000       -1.19377
       45.00000       87.00000       -1.17792
       47.00000       87.00000       -1.16278
       49.00000       87.00000       -1.14834
       51.00000       87.00000       -1.13458
       53.00000       87.00000       -1.12149
       55.00000       87.00000       -1.10906
       57.00000       87.00000       -1.09728
       59.00000       87.00000       -1.08613
       61.00000       87.00000       -1.07561
       63.00000       87.00000       -1.06570
       65.00000       87.00000       -1.05639
       67.00000       87.00000       -1.04768
       69.00000       87.00000       -1.03956
       71.00000       87.00000       -1.03203
       73.00000       87.00000       -1.02507
       75.00000       87.00000       -1.01868
       77.00000       87.00000       -1.01287
       79.00000       87.00000       -1.00762
       81.00000       87.00000       -1.00293
       83.00000       87.00000       -0.99881
       85.00000       87.00000       -0.99524
       87.00000       87.00000       -0.99224
       89.00000       87.00000       -0.98980
       91.00000       87.00000       -0.98792
       93.00000       87.00000       -0.98660
       95.00000       87.00000       -0.98585
       97.00000       87.00000       -0.98567
       99.00000       87.00000       -0.98606
      101.00000       87.00000       -0.98703
      103.00000       87.00000       -0.98859
      105.00000       87.00000       -0.99074
      107.00000       87.00000       -0.99350
      109.00000       87.00000       -0.99687
      111.00000       87.00000       -1.00086
      113.00000       87.00000       -1.00549
      115.00000       87.00000       -1.01077
      117.00000       87.00000       -1.01671
      119.00000       87.00000       -1.02333
      121.00000       87.00000       -1.03065
      123.00000       87.00000       -1.03868
      125.00000       87.00000       -1.04744
      127.00000       87.00000       -1.05694
      129.00000       87.00000       -1.06721
      131.00000       87.00000       -1.07826
      133.00000       87.00000       -1.09011
      135.00000       87.00000       -1.10277
      137.00000       87.00000       -1.11627
      139.00000       87.00000       -1.13061
      141.00000       87.00000       -1.14581
      143.00000       87.00000       -1.16189
      145.00000       87.00000       -1.17885
      147.00000       87.00000       -1.19670
      149.00000       87.00000       -1.21546
      151.00000       87.00000       -1.23511
