 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# -----------------------------------------------
#      lon (deg)      lat (deg)     d_lat (mm/yr)
# -----------------------------------------------
       13.00000       87.00000        0.04064
       15.00000       87.00000        0.04664
       17.00000       87.00000        0.05240
       19.00000       87.00000        0.05794
       21.00000       87.00000        0.06326
       23.00000       87.00000        0.06836
       25.00000       87.00000        0.07325
       27.00000       87.00000        0.07795
       29.00000       87.00000        0.08246
       31.00000       87.00000        0.08679
       33.00000       87.00000        0.09094
       35.00000       87.00000        0.09492
       37.00000       87.00000        0.09874
       39.00000       87.00000        0.10241
       41.00000       87.00000        0.10593
       43.00000       87.00000        0.10930
       45.00000       87.00000        0.11253
       47.00000       87.00000        0.11563
       49.00000       87.00000        0.11859
       51.00000       87.00000        0.12142
       53.00000       87.00000        0.12412
       55.00000       87.00000        0.12670
       57.00000       87.00000        0.12915
       59.00000       87.00000        0.13149
       61.00000       87.00000        0.13371
       63.00000       87.00000        0.13582
       65.00000       87.00000        0.13781
       67.00000       87.00000        0.13969
       69.00000       87.00000        0.14147
       71.00000       87.00000        0.14314
       73.00000       87.00000        0.14470
       75.00000       87.00000        0.14617
       77.00000       87.00000        0.14753
       79.00000       87.00000        0.14880
       81.00000       87.00000        0.14997
       83.00000       87.00000        0.15104
       85.00000       87.00000        0.15201
       87.00000       87.00000        0.15289
       89.00000       87.00000        0.15368
       91.00000       87.00000        0.15437
       93.00000       87.00000        0.15496
       95.00000       87.00000        0.15545
       97.00000       87.00000        0.15584
       99.00000       87.00000        0.15614
      101.00000       87.00000        0.15633
      103.00000       87.00000        0.15642
      105.00000       87.00000        0.15640
      107.00000       87.00000        0.15627
      109.00000       87.00000        0.15603
      111.00000       87.00000        0.15567
      113.00000       87.00000        0.15520
      115.00000       87.00000        0.15460
      117.00000       87.00000        0.15388
      119.00000       87.00000        0.15303
      121.00000       87.00000        0.15205
      123.00000       87.00000        0.15093
      125.00000       87.00000        0.14967
      127.00000       87.00000        0.14826
      129.00000       87.00000        0.14670
      131.00000       87.00000        0.14499
      133.00000       87.00000        0.14311
      135.00000       87.00000        0.14107
      137.00000       87.00000        0.13886
      139.00000       87.00000        0.13648
      141.00000       87.00000        0.13391
      143.00000       87.00000        0.13115
      145.00000       87.00000        0.12820
      147.00000       87.00000        0.12504
      149.00000       87.00000        0.12168
      151.00000       87.00000        0.11810
      153.00000       87.00000        0.11429
      155.00000       87.00000        0.11025
      157.00000       87.00000        0.10597
      159.00000       87.00000        0.10143
      161.00000       87.00000        0.09664
      163.00000       87.00000        0.09158
      165.00000       87.00000        0.08624
      167.00000       87.00000        0.08063
      169.00000       87.00000        0.07472
      171.00000       87.00000        0.06852
      173.00000       87.00000        0.06202
      175.00000       87.00000        0.05522
      177.00000       87.00000        0.04811
      179.00000       87.00000        0.04069
      181.00000       87.00000        0.03296
      183.00000       87.00000        0.02492
      185.00000       87.00000        0.01655
      187.00000       87.00000        0.00787
      189.00000       87.00000       -0.00113
      191.00000       87.00000       -0.01046
      193.00000       87.00000       -0.02012
      195.00000       87.00000       -0.03010
      197.00000       87.00000       -0.04040
      199.00000       87.00000       -0.05104
      201.00000       87.00000       -0.06199
      203.00000       87.00000       -0.07326
      205.00000       87.00000       -0.08485
      207.00000       87.00000       -0.09673
      209.00000       87.00000       -0.10890
      211.00000       87.00000       -0.12134
      213.00000       87.00000       -0.13402
      215.00000       87.00000       -0.14694
      217.00000       87.00000       -0.16005
      219.00000       87.00000       -0.17334
      221.00000       87.00000       -0.18675
      223.00000       87.00000       -0.20027
      225.00000       87.00000       -0.21384
      227.00000       87.00000       -0.22742
      229.00000       87.00000       -0.24097
      231.00000       87.00000       -0.25444
      233.00000       87.00000       -0.26778
      235.00000       87.00000       -0.28092
      237.00000       87.00000       -0.29382
      239.00000       87.00000       -0.30641
      241.00000       87.00000       -0.31864
      243.00000       87.00000       -0.33045
      245.00000       87.00000       -0.34178
      247.00000       87.00000       -0.35256
      249.00000       87.00000       -0.36275
      251.00000       87.00000       -0.37227
      253.00000       87.00000       -0.38109
      255.00000       87.00000       -0.38914
      257.00000       87.00000       -0.39638
      259.00000       87.00000       -0.40278
      261.00000       87.00000       -0.40828
      263.00000       87.00000       -0.41286
      265.00000       87.00000       -0.41650
      267.00000       87.00000       -0.41918
      269.00000       87.00000       -0.42088
      271.00000       87.00000       -0.42160
      273.00000       87.00000       -0.42133
      275.00000       87.00000       -0.42009
      277.00000       87.00000       -0.41789
      279.00000       87.00000       -0.41475
      281.00000       87.00000       -0.41070
      283.00000       87.00000       -0.40576
      285.00000       87.00000       -0.39997
      287.00000       87.00000       -0.39337
      289.00000       87.00000       -0.38601
      291.00000       87.00000       -0.37793
      293.00000       87.00000       -0.36918
      295.00000       87.00000       -0.35981
      297.00000       87.00000       -0.34987
      299.00000       87.00000       -0.33943
      301.00000       87.00000       -0.32853
      303.00000       87.00000       -0.31723
      305.00000       87.00000       -0.30559
      307.00000       87.00000       -0.29366
      309.00000       87.00000       -0.28149
      311.00000       87.00000       -0.26914
      313.00000       87.00000       -0.25666
      315.00000       87.00000       -0.24410
      317.00000       87.00000       -0.23151
      319.00000       87.00000       -0.21892
      321.00000       87.00000       -0.20638
      323.00000       87.00000       -0.19394
      325.00000       87.00000       -0.18162
      327.00000       87.00000       -0.16945
      329.00000       87.00000       -0.15747
      331.00000       87.00000       -0.14569
      333.00000       87.00000       -0.13414
      335.00000       87.00000       -0.12283
      337.00000       87.00000       -0.11179
      339.00000       87.00000       -0.10100
      341.00000       87.00000       -0.09049
      343.00000       87.00000       -0.08026
      345.00000       87.00000       -0.07030
      347.00000       87.00000       -0.06063
      349.00000       87.00000       -0.05123
      351.00000       87.00000       -0.04211
      353.00000       87.00000       -0.03326
      355.00000       87.00000       -0.02468
      357.00000       87.00000       -0.01638
      359.00000       87.00000       -0.00834
        1.00000       85.00000        0.00821
        3.00000       85.00000        0.01399
        5.00000       85.00000        0.01947
        7.00000       85.00000        0.02466
        9.00000       85.00000        0.02957
       11.00000       85.00000        0.03421
       13.00000       85.00000        0.03859
       15.00000       85.00000        0.04273
       17.00000       85.00000        0.04665
       19.00000       85.00000        0.05036
       21.00000       85.00000        0.05387
       23.00000       85.00000        0.05720
       25.00000       85.00000        0.06036
       27.00000       85.00000        0.06335
       29.00000       85.00000        0.06619
       31.00000       85.00000        0.06888
       33.00000       85.00000        0.07144
       35.00000       85.00000        0.07386
       37.00000       85.00000        0.07615
       39.00000       85.00000        0.07834
       41.00000       85.00000        0.08041
       43.00000       85.00000        0.08238
       45.00000       85.00000        0.08425
       47.00000       85.00000        0.08604
       49.00000       85.00000        0.08775
       51.00000       85.00000        0.08938
       53.00000       85.00000        0.09094
       55.00000       85.00000        0.09244
       57.00000       85.00000        0.09387
       59.00000       85.00000        0.09525
       61.00000       85.00000        0.09657
       63.00000       85.00000        0.09783
       65.00000       85.00000        0.09904
       67.00000       85.00000        0.10019
       69.00000       85.00000        0.10130
       71.00000       85.00000        0.10237
       73.00000       85.00000        0.10338
       75.00000       85.00000        0.10436
       77.00000       85.00000        0.10530
       79.00000       85.00000        0.10620
       81.00000       85.00000        0.10706
       83.00000       85.00000        0.10789
       85.00000       85.00000        0.10869
       87.00000       85.00000        0.10945
       89.00000       85.00000        0.11017
       91.00000       85.00000        0.11086
       93.00000       85.00000        0.11150
       95.00000       85.00000        0.11211
       97.00000       85.00000        0.11267
       99.00000       85.00000        0.11319
      101.00000       85.00000        0.11366
      103.00000       85.00000        0.11410
      105.00000       85.00000        0.11449
      107.00000       85.00000        0.11485
      109.00000       85.00000        0.11517
      111.00000       85.00000        0.11546
      113.00000       85.00000        0.11571
      115.00000       85.00000        0.11593
      117.00000       85.00000        0.11610
      119.00000       85.00000        0.11623
      121.00000       85.00000        0.11631
      123.00000       85.00000        0.11632
      125.00000       85.00000        0.11627
      127.00000       85.00000        0.11613
      129.00000       85.00000        0.11591
      131.00000       85.00000        0.11559
      133.00000       85.00000        0.11515
      135.00000       85.00000        0.11458
      137.00000       85.00000        0.11388
      139.00000       85.00000        0.11303
      141.00000       85.00000        0.11201
      143.00000       85.00000        0.11082
      145.00000       85.00000        0.10945
      147.00000       85.00000        0.10789
      149.00000       85.00000        0.10613
      151.00000       85.00000        0.10417
      153.00000       85.00000        0.10199
      155.00000       85.00000        0.09960
      157.00000       85.00000        0.09699
      159.00000       85.00000        0.09415
      161.00000       85.00000        0.09106
      163.00000       85.00000        0.08773
      165.00000       85.00000        0.08412
      167.00000       85.00000        0.08022
      169.00000       85.00000        0.07601
      171.00000       85.00000        0.07147
      173.00000       85.00000        0.06657
      175.00000       85.00000        0.06129
      177.00000       85.00000        0.05562
      179.00000       85.00000        0.04954
      181.00000       85.00000        0.04302
      183.00000       85.00000        0.03605
      185.00000       85.00000        0.02863
      187.00000       85.00000        0.02071
      189.00000       85.00000        0.01230
      191.00000       85.00000        0.00335
      193.00000       85.00000       -0.00617
      195.00000       85.00000       -0.01628
      197.00000       85.00000       -0.02702
      199.00000       85.00000       -0.03843
      201.00000       85.00000       -0.05055
      203.00000       85.00000       -0.06339
      205.00000       85.00000       -0.07699
      207.00000       85.00000       -0.09137
      209.00000       85.00000       -0.10653
      211.00000       85.00000       -0.12251
      213.00000       85.00000       -0.13930
      215.00000       85.00000       -0.15691
      217.00000       85.00000       -0.17533
      219.00000       85.00000       -0.19457
      221.00000       85.00000       -0.21459
      223.00000       85.00000       -0.23538
      225.00000       85.00000       -0.25687
      227.00000       85.00000       -0.27901
      229.00000       85.00000       -0.30169
      231.00000       85.00000       -0.32482
      233.00000       85.00000       -0.34824
      235.00000       85.00000       -0.37181
      237.00000       85.00000       -0.39534
      239.00000       85.00000       -0.41865
      241.00000       85.00000       -0.44153
      243.00000       85.00000       -0.46380
      245.00000       85.00000       -0.48523
      247.00000       85.00000       -0.50565
      249.00000       85.00000       -0.52487
      251.00000       85.00000       -0.54270
