 # done by Task#3 of TABOO on 2017.02.06 time=15.50.26
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# -----------------------------------------------
#      lon (deg)      lat (deg)     d_lat (mm/yr)
# -----------------------------------------------
       15.00000       87.00000        0.04737
       17.00000       87.00000        0.05285
       19.00000       87.00000        0.05813
       21.00000       87.00000        0.06322
       23.00000       87.00000        0.06813
       25.00000       87.00000        0.07286
       27.00000       87.00000        0.07743
       29.00000       87.00000        0.08183
       31.00000       87.00000        0.08608
       33.00000       87.00000        0.09019
       35.00000       87.00000        0.09415
       37.00000       87.00000        0.09798
       39.00000       87.00000        0.10168
       41.00000       87.00000        0.10525
       43.00000       87.00000        0.10870
       45.00000       87.00000        0.11203
       47.00000       87.00000        0.11524
       49.00000       87.00000        0.11834
       51.00000       87.00000        0.12133
       53.00000       87.00000        0.12420
       55.00000       87.00000        0.12696
       57.00000       87.00000        0.12961
       59.00000       87.00000        0.13215
       61.00000       87.00000        0.13459
       63.00000       87.00000        0.13692
       65.00000       87.00000        0.13914
       67.00000       87.00000        0.14126
       69.00000       87.00000        0.14327
       71.00000       87.00000        0.14518
       73.00000       87.00000        0.14698
       75.00000       87.00000        0.14868
       77.00000       87.00000        0.15028
       79.00000       87.00000        0.15178
       81.00000       87.00000        0.15317
       83.00000       87.00000        0.15445
       85.00000       87.00000        0.15564
       87.00000       87.00000        0.15671
       89.00000       87.00000        0.15768
       91.00000       87.00000        0.15855
       93.00000       87.00000        0.15930
       95.00000       87.00000        0.15994
       97.00000       87.00000        0.16047
       99.00000       87.00000        0.16089
      101.00000       87.00000        0.16119
      103.00000       87.00000        0.16137
      105.00000       87.00000        0.16143
      107.00000       87.00000        0.16136
      109.00000       87.00000        0.16117
      111.00000       87.00000        0.16084
      113.00000       87.00000        0.16039
      115.00000       87.00000        0.15980
      117.00000       87.00000        0.15907
      119.00000       87.00000        0.15820
      121.00000       87.00000        0.15718
      123.00000       87.00000        0.15601
      125.00000       87.00000        0.15470
      127.00000       87.00000        0.15322
      129.00000       87.00000        0.15159
      131.00000       87.00000        0.14979
      133.00000       87.00000        0.14783
      135.00000       87.00000        0.14570
      137.00000       87.00000        0.14338
      139.00000       87.00000        0.14089
      141.00000       87.00000        0.13821
      143.00000       87.00000        0.13534
      145.00000       87.00000        0.13228
      147.00000       87.00000        0.12901
      149.00000       87.00000        0.12553
      151.00000       87.00000        0.12183
      153.00000       87.00000        0.11792
      155.00000       87.00000        0.11377
      157.00000       87.00000        0.10938
      159.00000       87.00000        0.10474
      161.00000       87.00000        0.09985
      163.00000       87.00000        0.09470
      165.00000       87.00000        0.08928
      167.00000       87.00000        0.08359
      169.00000       87.00000        0.07762
      171.00000       87.00000        0.07136
      173.00000       87.00000        0.06481
      175.00000       87.00000        0.05797
      177.00000       87.00000        0.05083
      179.00000       87.00000        0.04339
      181.00000       87.00000        0.03565
      183.00000       87.00000        0.02761
      185.00000       87.00000        0.01926
      187.00000       87.00000        0.01060
      189.00000       87.00000        0.00164
      191.00000       87.00000       -0.00764
      193.00000       87.00000       -0.01723
      195.00000       87.00000       -0.02713
      197.00000       87.00000       -0.03734
      199.00000       87.00000       -0.04787
      201.00000       87.00000       -0.05870
      203.00000       87.00000       -0.06983
      205.00000       87.00000       -0.08125
      207.00000       87.00000       -0.09295
      209.00000       87.00000       -0.10493
      211.00000       87.00000       -0.11715
      213.00000       87.00000       -0.12961
      215.00000       87.00000       -0.14227
      217.00000       87.00000       -0.15511
      219.00000       87.00000       -0.16811
      221.00000       87.00000       -0.18121
      223.00000       87.00000       -0.19440
      225.00000       87.00000       -0.20763
      227.00000       87.00000       -0.22085
      229.00000       87.00000       -0.23402
      231.00000       87.00000       -0.24710
      233.00000       87.00000       -0.26003
      235.00000       87.00000       -0.27276
      237.00000       87.00000       -0.28523
      239.00000       87.00000       -0.29740
      241.00000       87.00000       -0.30920
      243.00000       87.00000       -0.32057
      245.00000       87.00000       -0.33147
      247.00000       87.00000       -0.34182
      249.00000       87.00000       -0.35158
      251.00000       87.00000       -0.36070
      253.00000       87.00000       -0.36911
      255.00000       87.00000       -0.37678
      257.00000       87.00000       -0.38365
      259.00000       87.00000       -0.38969
      261.00000       87.00000       -0.39485
      263.00000       87.00000       -0.39912
      265.00000       87.00000       -0.40245
      267.00000       87.00000       -0.40485
      269.00000       87.00000       -0.40628
      271.00000       87.00000       -0.40674
      273.00000       87.00000       -0.40624
      275.00000       87.00000       -0.40478
      277.00000       87.00000       -0.40238
      279.00000       87.00000       -0.39905
      281.00000       87.00000       -0.39482
      283.00000       87.00000       -0.38973
      285.00000       87.00000       -0.38380
      287.00000       87.00000       -0.37708
      289.00000       87.00000       -0.36962
      291.00000       87.00000       -0.36146
      293.00000       87.00000       -0.35266
      295.00000       87.00000       -0.34327
      297.00000       87.00000       -0.33334
      299.00000       87.00000       -0.32294
      301.00000       87.00000       -0.31213
      303.00000       87.00000       -0.30095
      305.00000       87.00000       -0.28946
      307.00000       87.00000       -0.27773
      309.00000       87.00000       -0.26580
      311.00000       87.00000       -0.25373
      313.00000       87.00000       -0.24155
      315.00000       87.00000       -0.22933
      317.00000       87.00000       -0.21711
      319.00000       87.00000       -0.20492
      321.00000       87.00000       -0.19281
      323.00000       87.00000       -0.18080
      325.00000       87.00000       -0.16894
      327.00000       87.00000       -0.15725
      329.00000       87.00000       -0.14576
      331.00000       87.00000       -0.13448
      333.00000       87.00000       -0.12344
      335.00000       87.00000       -0.11265
      337.00000       87.00000       -0.10212
      339.00000       87.00000       -0.09187
      341.00000       87.00000       -0.08188
      343.00000       87.00000       -0.07218
      345.00000       87.00000       -0.06276
      347.00000       87.00000       -0.05361
      349.00000       87.00000       -0.04474
      351.00000       87.00000       -0.03615
      353.00000       87.00000       -0.02782
      355.00000       87.00000       -0.01976
      357.00000       87.00000       -0.01195
      359.00000       87.00000       -0.00440
        1.00000       85.00000        0.01163
        3.00000       85.00000        0.01705
        5.00000       85.00000        0.02215
        7.00000       85.00000        0.02694
        9.00000       85.00000        0.03146
       11.00000       85.00000        0.03573
       13.00000       85.00000        0.03977
       15.00000       85.00000        0.04362
       17.00000       85.00000        0.04729
       19.00000       85.00000        0.05080
       21.00000       85.00000        0.05418
       23.00000       85.00000        0.05743
       25.00000       85.00000        0.06056
       27.00000       85.00000        0.06359
       29.00000       85.00000        0.06651
       31.00000       85.00000        0.06932
       33.00000       85.00000        0.07204
       35.00000       85.00000        0.07466
       37.00000       85.00000        0.07718
       39.00000       85.00000        0.07961
       41.00000       85.00000        0.08196
       43.00000       85.00000        0.08422
       45.00000       85.00000        0.08640
       47.00000       85.00000        0.08851
       49.00000       85.00000        0.09055
       51.00000       85.00000        0.09253
       53.00000       85.00000        0.09445
       55.00000       85.00000        0.09631
       57.00000       85.00000        0.09812
       59.00000       85.00000        0.09988
       61.00000       85.00000        0.10159
       63.00000       85.00000        0.10326
       65.00000       85.00000        0.10487
       67.00000       85.00000        0.10643
       69.00000       85.00000        0.10794
       71.00000       85.00000        0.10940
       73.00000       85.00000        0.11081
       75.00000       85.00000        0.11217
       77.00000       85.00000        0.11347
       79.00000       85.00000        0.11472
       81.00000       85.00000        0.11591
       83.00000       85.00000        0.11705
       85.00000       85.00000        0.11814
       87.00000       85.00000        0.11917
       89.00000       85.00000        0.12015
       91.00000       85.00000        0.12107
       93.00000       85.00000        0.12193
       95.00000       85.00000        0.12274
       97.00000       85.00000        0.12349
       99.00000       85.00000        0.12418
      101.00000       85.00000        0.12481
      103.00000       85.00000        0.12537
      105.00000       85.00000        0.12587
      107.00000       85.00000        0.12631
      109.00000       85.00000        0.12668
      111.00000       85.00000        0.12698
      113.00000       85.00000        0.12721
      115.00000       85.00000        0.12736
      117.00000       85.00000        0.12744
      119.00000       85.00000        0.12744
      121.00000       85.00000        0.12736
      123.00000       85.00000        0.12719
      125.00000       85.00000        0.12692
      127.00000       85.00000        0.12656
      129.00000       85.00000        0.12608
      131.00000       85.00000        0.12549
      133.00000       85.00000        0.12478
      135.00000       85.00000        0.12393
      137.00000       85.00000        0.12294
      139.00000       85.00000        0.12180
      141.00000       85.00000        0.12050
      143.00000       85.00000        0.11903
      145.00000       85.00000        0.11738
      147.00000       85.00000        0.11554
      149.00000       85.00000        0.11351
      151.00000       85.00000        0.11129
      153.00000       85.00000        0.10886
      155.00000       85.00000        0.10622
      157.00000       85.00000        0.10338
      159.00000       85.00000        0.10030
      161.00000       85.00000        0.09700
      163.00000       85.00000        0.09346
      165.00000       85.00000        0.08966
      167.00000       85.00000        0.08558
      169.00000       85.00000        0.08120
      171.00000       85.00000        0.07651
      173.00000       85.00000        0.07147
      175.00000       85.00000        0.06607
      177.00000       85.00000        0.06030
      179.00000       85.00000        0.05412
      181.00000       85.00000        0.04753
      183.00000       85.00000        0.04050
      185.00000       85.00000        0.03303
      187.00000       85.00000        0.02509
      189.00000       85.00000        0.01667
      191.00000       85.00000        0.00773
      193.00000       85.00000       -0.00176
      195.00000       85.00000       -0.01183
      197.00000       85.00000       -0.02250
      199.00000       85.00000       -0.03383
      201.00000       85.00000       -0.04584
      203.00000       85.00000       -0.05855
      205.00000       85.00000       -0.07201
      207.00000       85.00000       -0.08622
      209.00000       85.00000       -0.10120
      211.00000       85.00000       -0.11697
      213.00000       85.00000       -0.13353
      215.00000       85.00000       -0.15089
      217.00000       85.00000       -0.16904
      219.00000       85.00000       -0.18797
      221.00000       85.00000       -0.20767
      223.00000       85.00000       -0.22810
      225.00000       85.00000       -0.24921
      227.00000       85.00000       -0.27094
      229.00000       85.00000       -0.29319
      231.00000       85.00000       -0.31586
      233.00000       85.00000       -0.33880
      235.00000       85.00000       -0.36189
      237.00000       85.00000       -0.38493
      239.00000       85.00000       -0.40777
      241.00000       85.00000       -0.43021
      243.00000       85.00000       -0.45207
      245.00000       85.00000       -0.47316
      247.00000       85.00000       -0.49331
      249.00000       85.00000       -0.51234
      251.00000       85.00000       -0.53011
      253.00000       85.00000       -0.54648
      255.00000       85.00000       -0.56132
      257.00000       85.00000       -0.57454
      259.00000       85.00000       -0.58605
      261.00000       85.00000       -0.59579
      263.00000       85.00000       -0.60370
      265.00000       85.00000       -0.60974
      267.00000       85.00000       -0.61388
      269.00000       85.00000       -0.61611
      271.00000       85.00000       -0.61641
      273.00000       85.00000       -0.61480
      275.00000       85.00000       -0.61128
      277.00000       85.00000       -0.60586
      279.00000       85.00000       -0.59858
      281.00000       85.00000       -0.58949
      283.00000       85.00000       -0.57863
      285.00000       85.00000       -0.56607
      287.00000       85.00000       -0.55191
      289.00000       85.00000       -0.53624
      291.00000       85.00000       -0.51919
      293.00000       85.00000       -0.50089
      295.00000       85.00000       -0.48151
      297.00000       85.00000       -0.46120
      299.00000       85.00000       -0.44014
      301.00000       85.00000       -0.41853
      303.00000       85.00000       -0.39655
      305.00000       85.00000       -0.37438
      307.00000       85.00000       -0.35221
      309.00000       85.00000       -0.33019
      311.00000       85.00000       -0.30849
      313.00000       85.00000       -0.28722
      315.00000       85.00000       -0.26650
      317.00000       85.00000       -0.24643
      319.00000       85.00000       -0.22706
      321.00000       85.00000       -0.20844
      323.00000       85.00000       -0.19061
      325.00000       85.00000       -0.17359
      327.00000       85.00000       -0.15737
      329.00000       85.00000       -0.14198
      331.00000       85.00000       -0.12738
      333.00000       85.00000       -0.11359
      335.00000       85.00000       -0.10057
      337.00000       85.00000       -0.08831
      339.00000       85.00000       -0.07679
      341.00000       85.00000       -0.06597
      343.00000       85.00000       -0.05582
      345.00000       85.00000       -0.04631
      347.00000       85.00000       -0.03738
      349.00000       85.00000       -0.02900
      351.00000       85.00000       -0.02114
      353.00000       85.00000       -0.01375
      355.00000       85.00000       -0.00680
      357.00000       85.00000       -0.00028
      359.00000       85.00000        0.00586
        1.00000       83.00000        0.01546
        3.00000       83.00000        0.01869
        5.00000       83.00000        0.02163
        7.00000       83.00000        0.02431
        9.00000       83.00000        0.02680
       11.00000       83.00000        0.02913
       13.00000       83.00000        0.03135
       15.00000       83.00000        0.03347
       17.00000       83.00000        0.03551
       19.00000       83.00000        0.03747
       21.00000       83.00000        0.03937
       23.00000       83.00000        0.04121
       25.00000       83.00000        0.04300
       27.00000       83.00000        0.04475
