 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# -----------------------------------------------
#      lon (deg)      lat (deg)     d_lon (mm/yr)
# -----------------------------------------------
       13.00000       87.00000       -0.21126
       15.00000       87.00000       -0.20667
       17.00000       87.00000       -0.20199
       19.00000       87.00000       -0.19725
       21.00000       87.00000       -0.19246
       23.00000       87.00000       -0.18762
       25.00000       87.00000       -0.18274
       27.00000       87.00000       -0.17784
       29.00000       87.00000       -0.17292
       31.00000       87.00000       -0.16798
       33.00000       87.00000       -0.16303
       35.00000       87.00000       -0.15808
       37.00000       87.00000       -0.15311
       39.00000       87.00000       -0.14815
       41.00000       87.00000       -0.14318
       43.00000       87.00000       -0.13820
       45.00000       87.00000       -0.13323
       47.00000       87.00000       -0.12825
       49.00000       87.00000       -0.12326
       51.00000       87.00000       -0.11828
       53.00000       87.00000       -0.11329
       55.00000       87.00000       -0.10829
       57.00000       87.00000       -0.10329
       59.00000       87.00000       -0.09829
       61.00000       87.00000       -0.09328
       63.00000       87.00000       -0.08827
       65.00000       87.00000       -0.08325
       67.00000       87.00000       -0.07823
       69.00000       87.00000       -0.07320
       71.00000       87.00000       -0.06817
       73.00000       87.00000       -0.06313
       75.00000       87.00000       -0.05808
       77.00000       87.00000       -0.05302
       79.00000       87.00000       -0.04795
       81.00000       87.00000       -0.04287
       83.00000       87.00000       -0.03777
       85.00000       87.00000       -0.03266
       87.00000       87.00000       -0.02753
       89.00000       87.00000       -0.02238
       91.00000       87.00000       -0.01721
       93.00000       87.00000       -0.01201
       95.00000       87.00000       -0.00679
       97.00000       87.00000       -0.00155
       99.00000       87.00000        0.00372
      101.00000       87.00000        0.00903
      103.00000       87.00000        0.01436
      105.00000       87.00000        0.01972
      107.00000       87.00000        0.02512
      109.00000       87.00000        0.03055
      111.00000       87.00000        0.03601
      113.00000       87.00000        0.04151
      115.00000       87.00000        0.04704
      117.00000       87.00000        0.05261
      119.00000       87.00000        0.05821
      121.00000       87.00000        0.06385
      123.00000       87.00000        0.06953
      125.00000       87.00000        0.07524
      127.00000       87.00000        0.08098
      129.00000       87.00000        0.08677
      131.00000       87.00000        0.09258
      133.00000       87.00000        0.09843
      135.00000       87.00000        0.10432
      137.00000       87.00000        0.11024
      139.00000       87.00000        0.11619
      141.00000       87.00000        0.12217
      143.00000       87.00000        0.12818
      145.00000       87.00000        0.13421
      147.00000       87.00000        0.14027
      149.00000       87.00000        0.14634
      151.00000       87.00000        0.15243
      153.00000       87.00000        0.15852
      155.00000       87.00000        0.16462
      157.00000       87.00000        0.17070
      159.00000       87.00000        0.17678
      161.00000       87.00000        0.18282
      163.00000       87.00000        0.18882
      165.00000       87.00000        0.19478
      167.00000       87.00000        0.20067
      169.00000       87.00000        0.20648
      171.00000       87.00000        0.21221
      173.00000       87.00000        0.21782
      175.00000       87.00000        0.22332
      177.00000       87.00000        0.22870
      179.00000       87.00000        0.23392
      181.00000       87.00000        0.23899
      183.00000       87.00000        0.24390
      185.00000       87.00000        0.24863
      187.00000       87.00000        0.25316
      189.00000       87.00000        0.25749
      191.00000       87.00000        0.26160
      193.00000       87.00000        0.26548
      195.00000       87.00000        0.26911
      197.00000       87.00000        0.27246
      199.00000       87.00000        0.27553
      201.00000       87.00000        0.27827
      203.00000       87.00000        0.28068
      205.00000       87.00000        0.28271
      207.00000       87.00000        0.28434
      209.00000       87.00000        0.28553
      211.00000       87.00000        0.28627
      213.00000       87.00000        0.28650
      215.00000       87.00000        0.28620
      217.00000       87.00000        0.28534
      219.00000       87.00000        0.28389
