 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# -----------------------------------------------
#      lon (deg)      lat (deg)     d_rad (mm/yr)
# -----------------------------------------------
       19.00000       87.00000        0.09550
       21.00000       87.00000        0.10001
       23.00000       87.00000        0.10423
       25.00000       87.00000        0.10817
       27.00000       87.00000        0.11184
       29.00000       87.00000        0.11526
       31.00000       87.00000        0.11844
       33.00000       87.00000        0.12140
       35.00000       87.00000        0.12415
       37.00000       87.00000        0.12670
       39.00000       87.00000        0.12906
       41.00000       87.00000        0.13125
       43.00000       87.00000        0.13328
       45.00000       87.00000        0.13516
       47.00000       87.00000        0.13690
       49.00000       87.00000        0.13850
       51.00000       87.00000        0.13998
       53.00000       87.00000        0.14135
       55.00000       87.00000        0.14260
       57.00000       87.00000        0.14375
       59.00000       87.00000        0.14480
       61.00000       87.00000        0.14576
       63.00000       87.00000        0.14663
       65.00000       87.00000        0.14742
       67.00000       87.00000        0.14813
       69.00000       87.00000        0.14878
       71.00000       87.00000        0.14935
       73.00000       87.00000        0.14987
       75.00000       87.00000        0.15033
       77.00000       87.00000        0.15074
       79.00000       87.00000        0.15110
       81.00000       87.00000        0.15141
       83.00000       87.00000        0.15168
       85.00000       87.00000        0.15191
       87.00000       87.00000        0.15211
       89.00000       87.00000        0.15226
       91.00000       87.00000        0.15239
       93.00000       87.00000        0.15248
       95.00000       87.00000        0.15254
       97.00000       87.00000        0.15257
       99.00000       87.00000        0.15257
      101.00000       87.00000        0.15253
      103.00000       87.00000        0.15246
      105.00000       87.00000        0.15236
      107.00000       87.00000        0.15223
      109.00000       87.00000        0.15206
      111.00000       87.00000        0.15185
      113.00000       87.00000        0.15161
      115.00000       87.00000        0.15132
      117.00000       87.00000        0.15099
      119.00000       87.00000        0.15062
      121.00000       87.00000        0.15019
      123.00000       87.00000        0.14971
      125.00000       87.00000        0.14918
      127.00000       87.00000        0.14858
      129.00000       87.00000        0.14792
      131.00000       87.00000        0.14718
      133.00000       87.00000        0.14636
      135.00000       87.00000        0.14545
      137.00000       87.00000        0.14444
      139.00000       87.00000        0.14332
      141.00000       87.00000        0.14208
      143.00000       87.00000        0.14070
      145.00000       87.00000        0.13919
      147.00000       87.00000        0.13751
      149.00000       87.00000        0.13566
      151.00000       87.00000        0.13361
      153.00000       87.00000        0.13136
      155.00000       87.00000        0.12889
      157.00000       87.00000        0.12618
      159.00000       87.00000        0.12321
      161.00000       87.00000        0.11998
      163.00000       87.00000        0.11645
      165.00000       87.00000        0.11263
      167.00000       87.00000        0.10850
      169.00000       87.00000        0.10404
      171.00000       87.00000        0.09926
      173.00000       87.00000        0.09413
      175.00000       87.00000        0.08865
      177.00000       87.00000        0.08281
      179.00000       87.00000        0.07661
      181.00000       87.00000        0.07003
      183.00000       87.00000        0.06307
      185.00000       87.00000        0.05572
      187.00000       87.00000        0.04796
      189.00000       87.00000        0.03980
      191.00000       87.00000        0.03121
      193.00000       87.00000        0.02218
      195.00000       87.00000        0.01271
      197.00000       87.00000        0.00278
      199.00000       87.00000       -0.00763
      201.00000       87.00000       -0.01850
      203.00000       87.00000       -0.02986
      205.00000       87.00000       -0.04170
      207.00000       87.00000       -0.05401
      209.00000       87.00000       -0.06680
      211.00000       87.00000       -0.08004
      213.00000       87.00000       -0.09371
      215.00000       87.00000       -0.10780
      217.00000       87.00000       -0.12226
      219.00000       87.00000       -0.13706
      221.00000       87.00000       -0.15217
      223.00000       87.00000       -0.16752
      225.00000       87.00000       -0.18307
      227.00000       87.00000       -0.19876
      229.00000       87.00000       -0.21452
      231.00000       87.00000       -0.23030
      233.00000       87.00000       -0.24602
      235.00000       87.00000       -0.26161
      237.00000       87.00000       -0.27699
      239.00000       87.00000       -0.29209
      241.00000       87.00000       -0.30683
      243.00000       87.00000       -0.32113
      245.00000       87.00000       -0.33492
      247.00000       87.00000       -0.34811
      249.00000       87.00000       -0.36064
      251.00000       87.00000       -0.37242
      253.00000       87.00000       -0.38338
      255.00000       87.00000       -0.39347
      257.00000       87.00000       -0.40262
      259.00000       87.00000       -0.41076
      261.00000       87.00000       -0.41786
      263.00000       87.00000       -0.42387
      265.00000       87.00000       -0.42876
      267.00000       87.00000       -0.43249
      269.00000       87.00000       -0.43504
      271.00000       87.00000       -0.43641
      273.00000       87.00000       -0.43659
      275.00000       87.00000       -0.43559
      277.00000       87.00000       -0.43342
      279.00000       87.00000       -0.43010
      281.00000       87.00000       -0.42566
      283.00000       87.00000       -0.42013
      285.00000       87.00000       -0.41356
      287.00000       87.00000       -0.40599
      289.00000       87.00000       -0.39748
      291.00000       87.00000       -0.38807
      293.00000       87.00000       -0.37785
      295.00000       87.00000       -0.36685
      297.00000       87.00000       -0.35517
      299.00000       87.00000       -0.34285
      301.00000       87.00000       -0.32998
      303.00000       87.00000       -0.31662
      305.00000       87.00000       -0.30285
      307.00000       87.00000       -0.28873
      309.00000       87.00000       -0.27434
      311.00000       87.00000       -0.25975
      313.00000       87.00000       -0.24502
      315.00000       87.00000       -0.23022
      317.00000       87.00000       -0.21542
      319.00000       87.00000       -0.20067
      321.00000       87.00000       -0.18603
      323.00000       87.00000       -0.17155
      325.00000       87.00000       -0.15728
      327.00000       87.00000       -0.14326
      329.00000       87.00000       -0.12953
      331.00000       87.00000       -0.11611
      333.00000       87.00000       -0.10303
      335.00000       87.00000       -0.09032
      337.00000       87.00000       -0.07798
      339.00000       87.00000       -0.06602
      341.00000       87.00000       -0.05445
      343.00000       87.00000       -0.04327
      345.00000       87.00000       -0.03249
      347.00000       87.00000       -0.02208
      349.00000       87.00000       -0.01206
      351.00000       87.00000       -0.00242
      353.00000       87.00000        0.00685
      355.00000       87.00000        0.01576
      357.00000       87.00000        0.02431
      359.00000       87.00000        0.03251
        1.00000       85.00000        0.03280
        3.00000       85.00000        0.04324
        5.00000       85.00000        0.05297
        7.00000       85.00000        0.06200
        9.00000       85.00000        0.07034
       11.00000       85.00000        0.07800
       13.00000       85.00000        0.08502
       15.00000       85.00000        0.09144
       17.00000       85.00000        0.09728
       19.00000       85.00000        0.10261
       21.00000       85.00000        0.10747
       23.00000       85.00000        0.11190
       25.00000       85.00000        0.11594
       27.00000       85.00000        0.11964
       29.00000       85.00000        0.12301
       31.00000       85.00000        0.12609
       33.00000       85.00000        0.12889
       35.00000       85.00000        0.13143
       37.00000       85.00000        0.13373
       39.00000       85.00000        0.13580
       41.00000       85.00000        0.13764
       43.00000       85.00000        0.13928
       45.00000       85.00000        0.14071
       47.00000       85.00000        0.14196
       49.00000       85.00000        0.14304
       51.00000       85.00000        0.14394
       53.00000       85.00000        0.14470
       55.00000       85.00000        0.14532
       57.00000       85.00000        0.14581
       59.00000       85.00000        0.14618
       61.00000       85.00000        0.14644
       63.00000       85.00000        0.14661
       65.00000       85.00000        0.14669
       67.00000       85.00000        0.14670
       69.00000       85.00000        0.14664
       71.00000       85.00000        0.14653
       73.00000       85.00000        0.14637
       75.00000       85.00000        0.14619
       77.00000       85.00000        0.14600
       79.00000       85.00000        0.14579
       81.00000       85.00000        0.14560
       83.00000       85.00000        0.14542
       85.00000       85.00000        0.14525
       87.00000       85.00000        0.14512
       89.00000       85.00000        0.14500
       91.00000       85.00000        0.14492
       93.00000       85.00000        0.14486
       95.00000       85.00000        0.14483
       97.00000       85.00000        0.14482
       99.00000       85.00000        0.14485
      101.00000       85.00000        0.14491
      103.00000       85.00000        0.14501
      105.00000       85.00000        0.14515
      107.00000       85.00000        0.14534
      109.00000       85.00000        0.14558
      111.00000       85.00000        0.14589
      113.00000       85.00000        0.14625
      115.00000       85.00000        0.14667
      117.00000       85.00000        0.14714
      119.00000       85.00000        0.14765
      121.00000       85.00000        0.14820
      123.00000       85.00000        0.14877
      125.00000       85.00000        0.14933
      127.00000       85.00000        0.14989
      129.00000       85.00000        0.15040
      131.00000       85.00000        0.15086
      133.00000       85.00000        0.15125
      135.00000       85.00000        0.15155
      137.00000       85.00000        0.15174
      139.00000       85.00000        0.15182
      141.00000       85.00000        0.15176
      143.00000       85.00000        0.15155
      145.00000       85.00000        0.15119
      147.00000       85.00000        0.15067
      149.00000       85.00000        0.14997
      151.00000       85.00000        0.14908
      153.00000       85.00000        0.14799
      155.00000       85.00000        0.14666
      157.00000       85.00000        0.14507
      159.00000       85.00000        0.14317
      161.00000       85.00000        0.14092
      163.00000       85.00000        0.13827
      165.00000       85.00000        0.13514
      167.00000       85.00000        0.13148
      169.00000       85.00000        0.12722
      171.00000       85.00000        0.12229
      173.00000       85.00000        0.11664
      175.00000       85.00000        0.11022
      177.00000       85.00000        0.10297
      179.00000       85.00000        0.09488
      181.00000       85.00000        0.08588
      183.00000       85.00000        0.07596
      185.00000       85.00000        0.06505
      187.00000       85.00000        0.05311
      189.00000       85.00000        0.04006
      191.00000       85.00000        0.02581
      193.00000       85.00000        0.01026
      195.00000       85.00000       -0.00671
      197.00000       85.00000       -0.02521
      199.00000       85.00000       -0.04536
      201.00000       85.00000       -0.06727
      203.00000       85.00000       -0.09103
      205.00000       85.00000       -0.11674
      207.00000       85.00000       -0.14443
      209.00000       85.00000       -0.17415
      211.00000       85.00000       -0.20591
      213.00000       85.00000       -0.23972
      215.00000       85.00000       -0.27556
      217.00000       85.00000       -0.31340
      219.00000       85.00000       -0.35320
      221.00000       85.00000       -0.39490
      223.00000       85.00000       -0.43843
      225.00000       85.00000       -0.48367
      227.00000       85.00000       -0.53049
      229.00000       85.00000       -0.57871
      231.00000       85.00000       -0.62811
      233.00000       85.00000       -0.67844
      235.00000       85.00000       -0.72938
      237.00000       85.00000       -0.78060
      239.00000       85.00000       -0.83171
      241.00000       85.00000       -0.88231
      243.00000       85.00000       -0.93195
      245.00000       85.00000       -0.98019
      247.00000       85.00000       -1.02659
      249.00000       85.00000       -1.07072
      251.00000       85.00000       -1.11213
      253.00000       85.00000       -1.15045
      255.00000       85.00000       -1.18529
      257.00000       85.00000       -1.21635
      259.00000       85.00000       -1.24335
      261.00000       85.00000       -1.26605
      263.00000       85.00000       -1.28429
      265.00000       85.00000       -1.29794
      267.00000       85.00000       -1.30694
      269.00000       85.00000       -1.31128
      271.00000       85.00000       -1.31098
      273.00000       85.00000       -1.30614
      275.00000       85.00000       -1.29685
      277.00000       85.00000       -1.28329
      279.00000       85.00000       -1.26563
      281.00000       85.00000       -1.24407
      283.00000       85.00000       -1.21883
      285.00000       85.00000       -1.19015
      287.00000       85.00000       -1.15827
      289.00000       85.00000       -1.12346
      291.00000       85.00000       -1.08599
      293.00000       85.00000       -1.04612
      295.00000       85.00000       -1.00416
      297.00000       85.00000       -0.96040
      299.00000       85.00000       -0.91515
      301.00000       85.00000       -0.86876
      303.00000       85.00000       -0.82154
      305.00000       85.00000       -0.77385
      307.00000       85.00000       -0.72601
      309.00000       85.00000       -0.67838
