 # done by Task#3 of TABOO on 2017.02.06 time=15.50.26
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# -----------------------------------------------
#      lon (deg)      lat (deg)     d_geo (mm/yr)
# -----------------------------------------------
       19.00000       87.00000        0.00972
       21.00000       87.00000        0.01020
       23.00000       87.00000        0.01067
       25.00000       87.00000        0.01111
       27.00000       87.00000        0.01154
       29.00000       87.00000        0.01196
       31.00000       87.00000        0.01235
       33.00000       87.00000        0.01273
       35.00000       87.00000        0.01309
       37.00000       87.00000        0.01344
       39.00000       87.00000        0.01377
       41.00000       87.00000        0.01408
       43.00000       87.00000        0.01438
       45.00000       87.00000        0.01467
       47.00000       87.00000        0.01495
       49.00000       87.00000        0.01521
       51.00000       87.00000        0.01545
       53.00000       87.00000        0.01569
       55.00000       87.00000        0.01591
       57.00000       87.00000        0.01612
       59.00000       87.00000        0.01632
       61.00000       87.00000        0.01651
       63.00000       87.00000        0.01669
       65.00000       87.00000        0.01685
       67.00000       87.00000        0.01700
       69.00000       87.00000        0.01715
       71.00000       87.00000        0.01728
       73.00000       87.00000        0.01740
       75.00000       87.00000        0.01751
       77.00000       87.00000        0.01761
       79.00000       87.00000        0.01770
       81.00000       87.00000        0.01778
       83.00000       87.00000        0.01785
       85.00000       87.00000        0.01791
       87.00000       87.00000        0.01797
       89.00000       87.00000        0.01801
       91.00000       87.00000        0.01804
       93.00000       87.00000        0.01805
       95.00000       87.00000        0.01806
       97.00000       87.00000        0.01806
       99.00000       87.00000        0.01805
      101.00000       87.00000        0.01803
      103.00000       87.00000        0.01800
      105.00000       87.00000        0.01796
      107.00000       87.00000        0.01790
      109.00000       87.00000        0.01784
      111.00000       87.00000        0.01776
      113.00000       87.00000        0.01767
      115.00000       87.00000        0.01757
      117.00000       87.00000        0.01746
      119.00000       87.00000        0.01733
      121.00000       87.00000        0.01719
      123.00000       87.00000        0.01704
      125.00000       87.00000        0.01688
      127.00000       87.00000        0.01670
      129.00000       87.00000        0.01651
      131.00000       87.00000        0.01630
      133.00000       87.00000        0.01608
      135.00000       87.00000        0.01584
      137.00000       87.00000        0.01559
      139.00000       87.00000        0.01532
      141.00000       87.00000        0.01503
      143.00000       87.00000        0.01472
      145.00000       87.00000        0.01440
      147.00000       87.00000        0.01406
      149.00000       87.00000        0.01370
      151.00000       87.00000        0.01332
      153.00000       87.00000        0.01292
      155.00000       87.00000        0.01250
      157.00000       87.00000        0.01206
      159.00000       87.00000        0.01160
      161.00000       87.00000        0.01112
      163.00000       87.00000        0.01062
      165.00000       87.00000        0.01009
      167.00000       87.00000        0.00954
      169.00000       87.00000        0.00897
      171.00000       87.00000        0.00837
      173.00000       87.00000        0.00776
      175.00000       87.00000        0.00712
      177.00000       87.00000        0.00645
      179.00000       87.00000        0.00577
      181.00000       87.00000        0.00506
      183.00000       87.00000        0.00433
      185.00000       87.00000        0.00358
      187.00000       87.00000        0.00281
      189.00000       87.00000        0.00202
      191.00000       87.00000        0.00120
      193.00000       87.00000        0.00037
      195.00000       87.00000       -0.00048
      197.00000       87.00000       -0.00134
      199.00000       87.00000       -0.00222
      201.00000       87.00000       -0.00312
      203.00000       87.00000       -0.00402
      205.00000       87.00000       -0.00494
      207.00000       87.00000       -0.00587
      209.00000       87.00000       -0.00680
      211.00000       87.00000       -0.00774
      213.00000       87.00000       -0.00868
      215.00000       87.00000       -0.00963
      217.00000       87.00000       -0.01057
      219.00000       87.00000       -0.01150
      221.00000       87.00000       -0.01243
      223.00000       87.00000       -0.01336
      225.00000       87.00000       -0.01426
      227.00000       87.00000       -0.01516
      229.00000       87.00000       -0.01603
      231.00000       87.00000       -0.01689
      233.00000       87.00000       -0.01772
      235.00000       87.00000       -0.01853
      237.00000       87.00000       -0.01931
      239.00000       87.00000       -0.02006
      241.00000       87.00000       -0.02077
      243.00000       87.00000       -0.02145
      245.00000       87.00000       -0.02209
      247.00000       87.00000       -0.02269
      249.00000       87.00000       -0.02325
      251.00000       87.00000       -0.02377
      253.00000       87.00000       -0.02423
      255.00000       87.00000       -0.02466
      257.00000       87.00000       -0.02503
      259.00000       87.00000       -0.02535
      261.00000       87.00000       -0.02562
