 # done by Task#3 of TABOO on 2017.02.06 time=15.50.26
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      geoid (m)
# --------------------------------------------
        3.00000       87.00000       -0.10607
        5.00000       87.00000       -0.10763
        7.00000       87.00000       -0.10908
        9.00000       87.00000       -0.11041
       11.00000       87.00000       -0.11164
       13.00000       87.00000       -0.11277
       15.00000       87.00000       -0.11381
       17.00000       87.00000       -0.11476
       19.00000       87.00000       -0.11563
       21.00000       87.00000       -0.11643
       23.00000       87.00000       -0.11715
       25.00000       87.00000       -0.11781
       27.00000       87.00000       -0.11840
       29.00000       87.00000       -0.11894
       31.00000       87.00000       -0.11943
       33.00000       87.00000       -0.11987
       35.00000       87.00000       -0.12026
       37.00000       87.00000       -0.12062
       39.00000       87.00000       -0.12093
       41.00000       87.00000       -0.12121
       43.00000       87.00000       -0.12146
       45.00000       87.00000       -0.12167
       47.00000       87.00000       -0.12186
       49.00000       87.00000       -0.12203
       51.00000       87.00000       -0.12217
       53.00000       87.00000       -0.12229
       55.00000       87.00000       -0.12239
       57.00000       87.00000       -0.12248
       59.00000       87.00000       -0.12255
       61.00000       87.00000       -0.12261
       63.00000       87.00000       -0.12265
       65.00000       87.00000       -0.12268
       67.00000       87.00000       -0.12270
       69.00000       87.00000       -0.12271
       71.00000       87.00000       -0.12272
       73.00000       87.00000       -0.12272
       75.00000       87.00000       -0.12271
       77.00000       87.00000       -0.12269
       79.00000       87.00000       -0.12267
       81.00000       87.00000       -0.12265
       83.00000       87.00000       -0.12262
       85.00000       87.00000       -0.12258
       87.00000       87.00000       -0.12255
       89.00000       87.00000       -0.12251
       91.00000       87.00000       -0.12246
       93.00000       87.00000       -0.12242
       95.00000       87.00000       -0.12237
       97.00000       87.00000       -0.12232
       99.00000       87.00000       -0.12226
      101.00000       87.00000       -0.12221
      103.00000       87.00000       -0.12214
      105.00000       87.00000       -0.12208
      107.00000       87.00000       -0.12201
      109.00000       87.00000       -0.12193
      111.00000       87.00000       -0.12185
      113.00000       87.00000       -0.12176
      115.00000       87.00000       -0.12167
      117.00000       87.00000       -0.12156
      119.00000       87.00000       -0.12145
      121.00000       87.00000       -0.12132
      123.00000       87.00000       -0.12118
      125.00000       87.00000       -0.12103
      127.00000       87.00000       -0.12086
      129.00000       87.00000       -0.12068
      131.00000       87.00000       -0.12048
      133.00000       87.00000       -0.12025
      135.00000       87.00000       -0.12000
      137.00000       87.00000       -0.11973
      139.00000       87.00000       -0.11943
      141.00000       87.00000       -0.11909
      143.00000       87.00000       -0.11872
      145.00000       87.00000       -0.11832
      147.00000       87.00000       -0.11787
      149.00000       87.00000       -0.11738
      151.00000       87.00000       -0.11684
      153.00000       87.00000       -0.11625
      155.00000       87.00000       -0.11560
      157.00000       87.00000       -0.11490
      159.00000       87.00000       -0.11412
      161.00000       87.00000       -0.11328
      163.00000       87.00000       -0.11236
      165.00000       87.00000       -0.11137
      167.00000       87.00000       -0.11028
      169.00000       87.00000       -0.10911
      171.00000       87.00000       -0.10783
      173.00000       87.00000       -0.10646
      175.00000       87.00000       -0.10498
      177.00000       87.00000       -0.10338
      179.00000       87.00000       -0.10166
      181.00000       87.00000       -0.09981
      183.00000       87.00000       -0.09783
      185.00000       87.00000       -0.09571
      187.00000       87.00000       -0.09345
      189.00000       87.00000       -0.09103
      191.00000       87.00000       -0.08847
      193.00000       87.00000       -0.08574
      195.00000       87.00000       -0.08285
      197.00000       87.00000       -0.07979
      199.00000       87.00000       -0.07656
      201.00000       87.00000       -0.07317
      203.00000       87.00000       -0.06960
      205.00000       87.00000       -0.06587
      207.00000       87.00000       -0.06198
      209.00000       87.00000       -0.05792
      211.00000       87.00000       -0.05371
      213.00000       87.00000       -0.04935
      215.00000       87.00000       -0.04486
      217.00000       87.00000       -0.04024
      219.00000       87.00000       -0.03552
      221.00000       87.00000       -0.03069
      223.00000       87.00000       -0.02579
      225.00000       87.00000       -0.02083
      227.00000       87.00000       -0.01583
      229.00000       87.00000       -0.01081
      231.00000       87.00000       -0.00580
      233.00000       87.00000       -0.00083
      235.00000       87.00000        0.00409
      237.00000       87.00000        0.00893
      239.00000       87.00000        0.01365
      241.00000       87.00000        0.01824
      243.00000       87.00000        0.02266
      245.00000       87.00000        0.02690
      247.00000       87.00000        0.03091
      249.00000       87.00000        0.03468
      251.00000       87.00000        0.03819
      253.00000       87.00000        0.04141
      255.00000       87.00000        0.04432
      257.00000       87.00000        0.04690
      259.00000       87.00000        0.04914
      261.00000       87.00000        0.05101
      263.00000       87.00000        0.05252
      265.00000       87.00000        0.05364
      267.00000       87.00000        0.05436
      269.00000       87.00000        0.05470
      271.00000       87.00000        0.05463
      273.00000       87.00000        0.05417
      275.00000       87.00000        0.05330
      277.00000       87.00000        0.05205
      279.00000       87.00000        0.05042
      281.00000       87.00000        0.04841
      283.00000       87.00000        0.04605
      285.00000       87.00000        0.04334
      287.00000       87.00000        0.04031
      289.00000       87.00000        0.03697
      291.00000       87.00000        0.03334
      293.00000       87.00000        0.02945
      295.00000       87.00000        0.02532
      297.00000       87.00000        0.02098
      299.00000       87.00000        0.01645
      301.00000       87.00000        0.01176
      303.00000       87.00000        0.00694
      305.00000       87.00000        0.00201
      307.00000       87.00000       -0.00300
      309.00000       87.00000       -0.00806
      311.00000       87.00000       -0.01315
      313.00000       87.00000       -0.01824
      315.00000       87.00000       -0.02331
      317.00000       87.00000       -0.02834
      319.00000       87.00000       -0.03330
      321.00000       87.00000       -0.03818
      323.00000       87.00000       -0.04295
      325.00000       87.00000       -0.04761
      327.00000       87.00000       -0.05215
      329.00000       87.00000       -0.05654
      331.00000       87.00000       -0.06077
      333.00000       87.00000       -0.06485
      335.00000       87.00000       -0.06877
      337.00000       87.00000       -0.07251
      339.00000       87.00000       -0.07608
      341.00000       87.00000       -0.07948
      343.00000       87.00000       -0.08270
      345.00000       87.00000       -0.08576
      347.00000       87.00000       -0.08864
      349.00000       87.00000       -0.09135
      351.00000       87.00000       -0.09390
      353.00000       87.00000       -0.09629
      355.00000       87.00000       -0.09853
      357.00000       87.00000       -0.10062
      359.00000       87.00000       -0.10257
        1.00000       85.00000       -0.10780
        3.00000       85.00000       -0.10987
        5.00000       85.00000       -0.11168
        7.00000       85.00000       -0.11325
        9.00000       85.00000       -0.11461
       11.00000       85.00000       -0.11578
       13.00000       85.00000       -0.11678
       15.00000       85.00000       -0.11764
       17.00000       85.00000       -0.11836
       19.00000       85.00000       -0.11897
       21.00000       85.00000       -0.11947
       23.00000       85.00000       -0.11988
       25.00000       85.00000       -0.12022
       27.00000       85.00000       -0.12048
       29.00000       85.00000       -0.12068
       31.00000       85.00000       -0.12083
       33.00000       85.00000       -0.12094
       35.00000       85.00000       -0.12100
       37.00000       85.00000       -0.12103
       39.00000       85.00000       -0.12103
       41.00000       85.00000       -0.12101
       43.00000       85.00000       -0.12096
       45.00000       85.00000       -0.12089
